name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chavannes-près-renens,2024-01-01,43.6,38.5,40.5,40.6,33.7,36.8,36.3,85.2,0.547,100,29.17,rain,0,0.1,17.4,8.5,250.4,1016.9,85.8,14.8,31.5,2.7,2,10,2024-01-01T08:17:49,2024-01-01T16:56:28,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-02,45,38.5,41.5,40,33.1,36.2,39,90.9,0.752,100,79.17,rain,0,0,25.7,13.2,250.8,1013.2,99.9,9.9,8.7,0.8,1,10,2024-01-02T08:17:50,2024-01-02T16:57:24,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-03,53.8,44.2,48.2,53.8,37.9,44.4,39.9,74.3,0.348,100,50,rain,0,0,43.4,19.5,247.7,1008.8,86.3,12.3,27.7,2.3,1,10,2024-01-03T08:17:48,2024-01-03T16:58:22,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5414,06610099999,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-04,47.7,40.8,44.2,45.2,38.4,40.2,37.3,76.8,0.049,100,41.67,rain,0,0,41.5,12.2,250.1,1012.7,86.8,13.7,31.8,2.7,3,10,2024-01-04T08:17:44,2024-01-04T16:59:23,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-05,42.4,39.7,41.1,42.4,37.6,40.5,37.5,87.6,0.223,100,58.33,rain,0,0,10.5,4.5,357.1,1006.6,100,11.4,9.8,0.9,1,10,2024-01-05T08:17:36,2024-01-05T17:00:25,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-06,40.4,37.4,38.7,39.3,32.4,35.8,33.7,82.4,0.062,100,25,rain,0,0,17,7,18.6,1008.9,98.6,10.5,45.6,4,3,10,2024-01-06T08:17:26,2024-01-06T17:01:29,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-07,37.9,32.8,36.3,31.5,23.5,29.3,32.2,85.1,0.064,100,75,"rain,snow",0.5,0,29.3,12.5,28.1,1011.9,98.1,5.8,36.6,3.4,2,10,2024-01-07T08:17:13,2024-01-07T17:02:35,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-08,32.1,26.2,27.8,22.6,15.3,17.8,23.4,83.1,0.029,100,37.5,"rain,snow",0.2,0,33.2,15.1,35.2,1018.5,97.7,11.8,31.6,2.8,2,10,2024-01-08T08:16:58,2024-01-08T17:03:43,0.9,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-09,29.5,27.1,28.1,29,20.6,23.1,24.3,85.4,0.124,100,41.67,"rain,snow",1.1,0.3,18.7,6.5,28.4,1023.8,99.6,7.5,15.2,1.5,1,10,2024-01-09T08:16:40,2024-01-09T17:04:53,0.93,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-10,33.1,27.9,30.1,32.6,21.3,26.2,27,88.4,0.034,100,33.33,"rain,snow",0.2,1.3,14.6,8.8,30.7,1025.4,90.6,11.4,20.6,1.8,2,10,2024-01-10T08:16:19,2024-01-10T17:06:04,0.97,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-11,29.6,28,28.6,23.9,20.2,21.5,26,89.6,0,0,0,,0,1.3,20.3,8.8,31.2,1027.5,45.4,13.7,20.2,1.7,1,10,2024-01-11T08:15:55,2024-01-11T17:07:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-12,29.8,26.9,27.9,22.7,18.3,20.7,24.5,87,0,0,0,snow,0,3.2,20.4,8.7,31.9,1030.1,20.8,13.5,36.2,3.1,2,10,2024-01-12T08:15:29,2024-01-12T17:08:31,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06712099999,E5414,06705099999,06619099999,06609099999,06702099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-13,30,26.7,28.1,30,20.5,26.7,25.2,88.7,0,0,0,,0,0.5,16.1,5.8,326.6,1027.3,32.5,14.3,38.9,3.3,2,10,2024-01-13T08:15:00,2024-01-13T17:09:47,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-14,35.9,25.9,29.9,31.8,22.4,28.3,27.3,90.1,0.003,100,12.5,"rain,snow",0,5,12.9,5.2,263.7,1016.7,95.5,14.9,42.8,3.8,3,10,2024-01-14T08:14:29,2024-01-14T17:11:04,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-15,39.5,32.6,36.8,34.4,28.9,31.5,29.7,75.5,0.005,100,16.67,"rain,snow",0,3.1,23.8,11.2,271.1,1009.8,86.5,11.2,32.5,2.7,2,10,2024-01-15T08:13:55,2024-01-15T17:12:22,0.14,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-16,37.3,31.1,34.1,37.3,27.2,31.8,27.6,77.4,0.022,100,20.83,"rain,snow",0,2.9,11.9,4.9,355.1,1011,87.8,14.8,70.1,6,4,10,2024-01-16T08:13:18,2024-01-16T17:13:42,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-17,46.6,37.2,42.7,44.3,34,39.5,41,93.7,1.179,100,79.17,rain,0,0.2,15.5,7.6,105.6,998.1,98.2,8.7,7,0.6,0,10,2024-01-17T08:12:39,2024-01-17T17:15:02,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06610099999,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-18,48,32.6,43.4,43,26.9,39,41.6,93.5,1.059,100,100,"rain,snow",0,0,29.2,13.5,263.6,999.1,100,7.2,11.5,1,1,10,2024-01-18T08:11:58,2024-01-18T17:16:24,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-19,32,24.8,29,32,11.8,20.3,23.4,79.7,0.019,100,16.67,"rain,snow",0.4,0.1,34.5,17.5,34.9,1019.3,40.2,12.3,66.4,5.6,4,10,2024-01-19T08:11:13,2024-01-19T17:17:47,0.28,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-20,29.7,21.9,24.9,24.7,10.5,16.8,17.5,73.5,0.002,100,4.17,"rain,snow",0,0,34.9,15.1,27,1030.1,3.6,15,88.6,7.6,4,10,2024-01-20T08:10:27,2024-01-20T17:19:11,0.31,"Snow, Rain",Clear conditions throughout the day with afternoon rain or snow.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-21,39.1,23.5,30.7,35.4,16.9,26,23.6,75.2,0,0,0,,0,0,12.3,5.5,329.8,1033.9,36.5,15,80.5,6.9,4,10,2024-01-21T08:09:38,2024-01-21T17:20:35,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-22,43.6,32.6,39.4,39.4,26.4,34.2,31.8,75.4,0.575,100,37.5,rain,0,0.7,27.5,12.8,279.6,1029.3,66.5,12.3,21.2,1.8,1,10,2024-01-22T08:08:47,2024-01-22T17:22:01,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-23,45.8,42.1,43.8,45.8,37.3,40.5,38.7,82.2,0.037,100,33.33,rain,0,0,18.9,9,262.5,1034.6,83.9,14.4,46,4.1,4,10,2024-01-23T08:07:54,2024-01-23T17:23:27,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5414,06610099999,LSGG,06700099999,06720099999,06704099999,06707099999,07490099999,LSMP,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-24,53.7,45.2,49.6,53.7,41.7,48.1,42.1,75.5,0.002,100,8.33,rain,0,0,19.4,8.8,276.1,1035,99.5,15,30.6,2.7,2,10,2024-01-24T08:06:58,2024-01-24T17:24:54,0.45,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-25,54.1,46.4,50.2,54.1,44.7,49.5,44.9,82.3,0.007,100,16.67,rain,0,0,18,7.8,265.9,1032.1,55.1,15,79.3,6.9,5,10,2024-01-25T08:06:00,2024-01-25T17:26:21,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-26,49.8,44.1,46.9,48.3,42.2,45.8,41.7,82.3,0.02,100,29.17,rain,0,0,18.9,6.2,296.4,1032.6,94,13.4,28,2.5,1,10,2024-01-26T08:05:00,2024-01-26T17:27:50,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-27,44.7,39.5,42.1,43.8,37,40.3,38.9,88.5,0,0,0,,0,0,12.9,5.6,5.6,1035,48.8,14.1,85.7,7.4,4,10,2024-01-27T08:03:57,2024-01-27T17:29:18,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-28,45.8,36.7,40.5,45.1,35.3,40.1,35.8,83.8,0,0,0,,0,0,10.2,3.7,0.5,1034.1,64.7,15,91.9,7.9,4,10,2024-01-28T08:02:53,2024-01-28T17:30:47,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-29,47.6,35.8,40.6,47.4,33.8,39.8,34.4,78.8,0,0,0,,0,0,8.9,4.1,18.5,1033.6,80.3,14.6,98,8.5,4,10,2024-01-29T08:01:47,2024-01-29T17:32:17,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06610099999,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-30,46.3,36.5,41,46.3,34.2,40.1,34.9,78.8,0,0,0,,0,0,9.5,4.1,337.6,1035,80.3,15,71.3,6.3,4,10,2024-01-30T08:00:38,2024-01-30T17:33:47,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-01-31,46.2,35.4,39.9,46.2,33.4,39.4,33.5,77.8,0,0,0,,0,0,8.2,4.2,16,1036,34.8,15,69.3,6.1,4,10,2024-01-31T07:59:28,2024-01-31T17:35:17,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-01,44.3,37.5,41.3,44.2,35.2,40.1,38.1,88.4,0.02,100,20.83,rain,0,0,10.9,5,308,1034.7,87.9,14.2,28.6,2.5,2,10,2024-02-01T07:58:15,2024-02-01T17:36:48,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-02,46.7,37.2,41.5,46.7,36,41,38.2,88.1,0,0,0,,0,0,9.1,3.9,33.7,1035.8,43.8,15,80,7,5,10,2024-02-02T07:57:01,2024-02-02T17:38:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-03,51.5,36.3,42.6,51.5,33.8,42,35.8,77.1,0,0,0,,0,0,8.4,4.1,8.2,1033.6,65.5,15,108.1,9.4,5,10,2024-02-03T07:55:45,2024-02-03T17:39:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-04,48.7,38.1,42.9,48.3,36.5,42,36.1,77.3,0,0,0,,0,0,9.5,5,318.4,1032.1,36.1,15,109,9.3,5,10,2024-02-04T07:54:27,2024-02-04T17:41:21,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-05,48.4,36.3,41.6,47.7,34.4,40.3,34.3,75.6,0,0,0,,0,0,10.5,5.2,313.5,1029.4,13.4,15,104.5,9.1,5,10,2024-02-05T07:53:07,2024-02-05T17:42:52,0.85,Clear,Clear conditions throughout the day.,clear-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-06,48.5,37.6,42.6,46.3,34.8,39.7,32.7,68.5,0,0,0,,0,0,15.2,7.7,263.2,1024.1,17.2,15,87.1,7.5,5,10,2024-02-06T07:51:46,2024-02-06T17:44:23,0.88,Clear,Clear conditions throughout the day.,clear-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-07,47.3,36.5,41.3,43.1,30.8,37.1,36.9,84.8,0.183,100,20.83,rain,0,0,17.6,9.7,264.6,1018.2,69.5,14,80.8,7,7,10,2024-02-07T07:50:23,2024-02-07T17:45:54,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-08,49.4,43,45.7,47.3,37.7,42.4,43.8,93.2,0.235,100,54.17,rain,0,0,18.3,9.2,257.5,1007.7,96.9,13.9,44.8,4,4,10,2024-02-08T07:48:58,2024-02-08T17:47:26,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-09,50.2,45.9,47.8,50.2,42.8,45.4,44.6,88.9,0.125,100,62.5,rain,0,0,27.8,11.8,283.9,994.8,99.9,14.5,31.4,2.8,1,10,2024-02-09T07:47:32,2024-02-09T17:48:57,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-10,48.2,40.4,45.5,48.2,34,43.2,43,91.2,0.072,100,29.17,rain,0,0,29.1,12.1,299.5,987.9,99.5,13,33.5,2.9,2,10,2024-02-10T07:46:04,2024-02-10T17:50:28,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-11,45.6,38.8,41.4,40.6,33.5,36.9,38.1,87.8,0.064,100,70.83,rain,0,0,29.6,11.2,251.8,999.7,93,6.6,41.3,3.7,3,10,2024-02-11T07:44:35,2024-02-11T17:52:00,0.05,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-12,45.4,38.4,42,45.4,35.5,40.6,38.1,86.2,0.033,100,25,rain,0,0,17.2,5.3,307.5,1008.6,92,14.5,62.2,5.5,3,10,2024-02-12T07:43:04,2024-02-12T17:53:31,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-13,47.6,35.5,41.6,47.4,31.7,40.8,34.5,76.4,0,0,0,,0,0,10,4.4,26.7,1021.2,34.8,12.9,135.7,11.7,6,10,2024-02-13T07:41:32,2024-02-13T17:55:02,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06610099999,06700099999,06720099999,06704099999,06707099999,07490099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-14,51.1,37.6,44.5,51.1,37.6,44,34.5,69.3,0,0,0,,0,0,11.4,4.7,47.3,1024.7,68.5,11,91.5,7.9,5,10,2024-02-14T07:39:58,2024-02-14T17:56:32,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06610099999,06700099999,06720099999,06704099999,07490099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-15,51.1,39.2,44.8,51.1,37.7,44.4,36.2,71.8,0,0,0,,0,0,9,3.9,16.4,1021.2,85.7,13.9,68.5,6,3,10,2024-02-15T07:38:23,2024-02-15T17:58:03,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06610099999,LSGG,06700099999,06720099999,06704099999,06707099999,LSMP,07490099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-16,58.9,40.4,49.3,58.9,40.4,49,41.1,73.8,0,0,0,,0,0,9.8,4.8,294.2,1020.3,90.9,13.9,77.6,6.7,4,10,2024-02-16T07:36:47,2024-02-16T17:59:33,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"E5414,06610099999,LSGG,06700099999,06720099999,06704099999,06707099999,LSMP,07490099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2024-02-17,55.5,44.6,49.3,55.5,44.6,49.1,44.4,83.4,0.001,100,4.17,rain,0,0,19,9.4,20.9,1029.9,66,14.8,70.5,6.1,5,10,2024-02-17T07:35:10,2024-02-17T18:01:04,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
